activity_code,fund_scheme_code,fund_component_code,fund_tied_general,fund_tied_sc,fund_tied_st,fund_untied_general,fund_untied_sc,fund_untied_st,fund_amount_total,fund_tied_abandoned_general,fund_tied_abandoned_sc,fund_tied_abandoned_st,fund_untied_abandoned_general,fund_untied_abandoned_sc,fund_untied_abandoned_st,fund_overflow_json
126997169,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,1000.0,,,,,,,
82902320,1769.0,4211.0,0.0,0.0,0.0,177800.0,0.0,0.0,177800.0,,,,,,,
82903140,1769.0,4211.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,,,,,,,
82906245,1769.0,4211.0,0.0,0.0,0.0,70000.0,0.0,0.0,70000.0,,,,,,,
82908096,1778.0,4250.0,0.0,0.0,0.0,150000.0,0.0,0.0,150000.0,,,,,,,
82919590,1778.0,4250.0,0.0,0.0,0.0,50000.0,0.0,0.0,50000.0,,,,,,,
82921150,1778.0,4250.0,0.0,0.0,0.0,115000.0,0.0,0.0,115000.0,,,,,,,
82925052,1778.0,4250.0,0.0,0.0,0.0,203074.0,0.0,0.0,203074.0,,,,,,,
82925792,1778.0,4250.0,0.0,0.0,0.0,25000.0,0.0,0.0,25000.0,,,,,,,
82928400,1769.0,4211.0,0.0,0.0,0.0,12980.0,0.0,0.0,12980.0,,,,,,,
82932993,1778.0,4250.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,,,,,,,
82948986,1769.0,4249.0,250060.0,0.0,0.0,0.0,0.0,0.0,250060.0,,,,,,,
82951856,1769.0,4249.0,72000.0,0.0,0.0,0.0,0.0,0.0,72000.0,,,,,,,
126997865,1769.0,4249.0,413000.0,0.0,0.0,0.0,0.0,0.0,413000.0,,,,,,,
127969320,1769.0,4211.0,0.0,0.0,0.0,200000.0,0.0,0.0,200000.0,,,,,,,
76198842,1769.0,4249.0,3500.0,0.0,0.0,0.0,0.0,0.0,3500.0,3500.0,0.0,0.0,0.0,0.0,0.0,
76202491,1769.0,4249.0,3500.0,0.0,0.0,0.0,0.0,0.0,3500.0,3500.0,0.0,0.0,0.0,0.0,0.0,
76204680,1769.0,4249.0,3500.0,0.0,0.0,0.0,0.0,0.0,3500.0,3500.0,0.0,0.0,0.0,0.0,0.0,
76205766,1769.0,4249.0,3500.0,0.0,0.0,0.0,0.0,0.0,3500.0,3500.0,0.0,0.0,0.0,0.0,0.0,
76262532,1769.0,4249.0,3500.0,0.0,0.0,0.0,0.0,0.0,3500.0,3500.0,0.0,0.0,0.0,0.0,0.0,
76263667,1769.0,4249.0,3500.0,0.0,0.0,0.0,0.0,0.0,3500.0,3500.0,0.0,0.0,0.0,0.0,0.0,
76462628,1769.0,4249.0,3500.0,0.0,0.0,0.0,0.0,0.0,3500.0,3500.0,0.0,0.0,0.0,0.0,0.0,
76463683,1769.0,4249.0,3500.0,0.0,0.0,0.0,0.0,0.0,3500.0,3500.0,0.0,0.0,0.0,0.0,0.0,
76463946,1769.0,4249.0,3500.0,0.0,0.0,0.0,0.0,0.0,3500.0,3500.0,0.0,0.0,0.0,0.0,0.0,
76467408,1769.0,4249.0,3500.0,0.0,0.0,0.0,0.0,0.0,3500.0,3500.0,0.0,0.0,0.0,0.0,0.0,
76468260,1769.0,4249.0,3500.0,0.0,0.0,0.0,0.0,0.0,3500.0,3500.0,0.0,0.0,0.0,0.0,0.0,
76468739,1769.0,4249.0,3500.0,0.0,0.0,0.0,0.0,0.0,3500.0,3500.0,0.0,0.0,0.0,0.0,0.0,
76469217,1769.0,4249.0,3500.0,0.0,0.0,0.0,0.0,0.0,3500.0,3500.0,0.0,0.0,0.0,0.0,0.0,
76469548,1769.0,4249.0,3500.0,0.0,0.0,0.0,0.0,0.0,3500.0,3500.0,0.0,0.0,0.0,0.0,0.0,
76470002,1769.0,4249.0,3500.0,0.0,0.0,0.0,0.0,0.0,3500.0,3500.0,0.0,0.0,0.0,0.0,0.0,
76470578,1769.0,4249.0,3500.0,0.0,0.0,0.0,0.0,0.0,3500.0,3500.0,0.0,0.0,0.0,0.0,0.0,
76471165,1769.0,4249.0,3500.0,0.0,0.0,0.0,0.0,0.0,3500.0,3500.0,0.0,0.0,0.0,0.0,0.0,
76471650,1769.0,4249.0,3500.0,0.0,0.0,0.0,0.0,0.0,3500.0,3500.0,0.0,0.0,0.0,0.0,0.0,
76472140,1769.0,4249.0,3500.0,0.0,0.0,0.0,0.0,0.0,3500.0,3500.0,0.0,0.0,0.0,0.0,0.0,
76472580,1769.0,4249.0,3500.0,0.0,0.0,0.0,0.0,0.0,3500.0,3500.0,0.0,0.0,0.0,0.0,0.0,
76473843,1769.0,4249.0,3500.0,0.0,0.0,0.0,0.0,0.0,3500.0,3500.0,0.0,0.0,0.0,0.0,0.0,
76474309,1769.0,4249.0,3500.0,0.0,0.0,0.0,0.0,0.0,3500.0,3500.0,0.0,0.0,0.0,0.0,0.0,
76474861,1769.0,4249.0,3500.0,0.0,0.0,0.0,0.0,0.0,3500.0,3500.0,0.0,0.0,0.0,0.0,0.0,
76475558,1769.0,4249.0,3500.0,0.0,0.0,0.0,0.0,0.0,3500.0,3500.0,0.0,0.0,0.0,0.0,0.0,
76476050,1769.0,4249.0,3500.0,0.0,0.0,0.0,0.0,0.0,3500.0,3500.0,0.0,0.0,0.0,0.0,0.0,
76476711,1769.0,4249.0,3500.0,0.0,0.0,0.0,0.0,0.0,3500.0,3500.0,0.0,0.0,0.0,0.0,0.0,
76477611,1769.0,4249.0,3500.0,0.0,0.0,0.0,0.0,0.0,3500.0,3500.0,0.0,0.0,0.0,0.0,0.0,
76478243,1769.0,4249.0,3500.0,0.0,0.0,0.0,0.0,0.0,3500.0,3500.0,0.0,0.0,0.0,0.0,0.0,
76478930,1769.0,4249.0,3500.0,0.0,0.0,0.0,0.0,0.0,3500.0,3500.0,0.0,0.0,0.0,0.0,0.0,
76479845,1769.0,4249.0,3500.0,0.0,0.0,0.0,0.0,0.0,3500.0,3500.0,0.0,0.0,0.0,0.0,0.0,
76480560,1769.0,4249.0,3500.0,0.0,0.0,0.0,0.0,0.0,3500.0,3500.0,0.0,0.0,0.0,0.0,0.0,
76481175,1769.0,4249.0,3500.0,0.0,0.0,0.0,0.0,0.0,3500.0,3500.0,0.0,0.0,0.0,0.0,0.0,
76482024,1769.0,4249.0,3500.0,0.0,0.0,0.0,0.0,0.0,3500.0,3500.0,0.0,0.0,0.0,0.0,0.0,
76482730,1769.0,4249.0,3500.0,0.0,0.0,0.0,0.0,0.0,3500.0,3500.0,0.0,0.0,0.0,0.0,0.0,
76485887,1769.0,4249.0,3500.0,0.0,0.0,0.0,0.0,0.0,3500.0,3500.0,0.0,0.0,0.0,0.0,0.0,
