activity_code,is_delegated,delegated_unit_code,delegated_unit_type,delegated_unit_level,delegated_unit_category,is_shareable,delegated_parent_unit_code
82662136,,,,,,False,
82662474,,,,,,False,
82662776,,,,,,False,
82663413,,,,,,False,
82663835,,,,,,False,
82664463,,,,,,False,
82665665,,,,,,False,
82665984,,,,,,False,
82666890,,,,,,False,
82667203,,,,,,False,
82667552,,,,,,False,
82673809,,,,,,False,
82677145,,,,,,False,
82677973,,,,,,False,
82678656,,,,,,False,
82678967,,,,,,False,
82685815,,,,,,False,
82687519,,,,,,False,
82326947,,,,,,False,
82329217,,,,,,False,
82330506,,,,,,False,
82331651,,,,,,False,
82333030,,,,,,False,
82334659,,,,,,False,
82335953,,,,,,False,
82420634,,,,,,False,
82420944,,,,,,False,
82421319,,,,,,False,
82421627,,,,,,False,
82424820,,,,,,False,
82425252,,,,,,False,
82478543,,,,,,False,
82669742,,,,,,False,
82670995,,,,,,False,
82690608,,,,,,False,
98522195,,,,,,False,
98523402,,,,,,False,
98524117,,,,,,False,
98601893,,,,,,False,
98602531,,,,,,False,
98652970,,,,,,False,
98653285,,,,,,False,
98653541,,,,,,False,
98654085,,,,,,False,
98654551,,,,,,False,
98657681,,,,,,False,
98657983,,,,,,False,
98658397,,,,,,False,
98659153,,,,,,False,
98659482,,,,,,False,
98660313,,,,,,False,
98660600,,,,,,False,
98660983,,,,,,False,
98661496,,,,,,False,
98663047,,,,,,False,
98663463,,,,,,False,
98663674,,,,,,False,
98663908,,,,,,False,
98664348,,,,,,False,
98664539,,,,,,False,
98665231,,,,,,False,
98757856,,,,,,False,
98758406,,,,,,False,
98759287,,,,,,False,
98759763,,,,,,False,
98800437,,,,,,False,
98800979,,,,,,False,
98801289,,,,,,False,
98801766,,,,,,False,
98802030,,,,,,False,
98802943,,,,,,False,
98803234,,,,,,False,
98804078,,,,,,False,
98804580,,,,,,False,
98947339,,,,,,False,
98947848,,,,,,False,
98948013,,,,,,False,
98948791,,,,,,False,
98948905,,,,,,False,
98949031,,,,,,False,
98949375,,,,,,False,
98950127,,,,,,False,
98951156,,,,,,False,
98951302,,,,,,False,
98951481,,,,,,False,
98951607,,,,,,False,
98951926,,,,,,False,
98952100,,,,,,False,
98952323,,,,,,False,
98952531,,,,,,False,
98952648,,,,,,False,
98953131,,,,,,False,
98953313,,,,,,False,
98953474,,,,,,False,
98953602,,,,,,False,
98954388,,,,,,False,
98954536,,,,,,False,
98954756,,,,,,False,
