activity_code,community_service_raw,community_service_code,community_service_duration,community_beneficiaries_expected
122051355,,,,
122088920,,,,
122090062,,,,
122090284,,,,
122098466,,,,
122098578,,,,
122098682,,,,
122098819,,,,
122098899,,,,
122099083,,,,
122099468,,,,
122099866,,,,
122099994,,,,
122100147,,,,
122178314,,,,
122178394,,,,
122178463,,,,
122178575,,,,
122178683,,,,
122178744,,657.0,6.0,100.0
122178914,,,,
122178975,,,,
122179072,,,,
122179187,,,,
122179773,,,,
122179873,,,,
122179997,,,,
122180118,,,,
122180406,,,,
122180516,,,,
122180619,,,,
122180702,,,,
128279444,,,,
128279476,,,,
128279557,,,,
122089587,,,,
122090542,,,,
122084186,,,,
122084562,,,,
122085097,,,,
122085483,,,,
122085805,,,,
122086266,,,,
122086831,,,,
122088730,,,,
122089312,,,,
122089799,,,,
122176291,,,,
122182622,,,,
122183042,,,,
122183840,,,,
122183908,,,,
52276424,,,,
52276521,,,,
52274555,,,,
52275022,,,,
52275051,,,,
52275079,,,,
52275108,,,,
52276390,,,,
52276402,,,,
52276445,,,,
52276462,,,,
52276487,,,,
52276505,,,,
52276538,,,,
52276559,,,,
52276583,,,,
52926908,,,,
52928449,,,,
66417498,,,,
52884352,,,,
52884501,,,,
52884604,,,,
52884663,,,,
52884843,,,,
52884906,,,,
52885146,,,,
52885214,,,,
66417478,,,,
52884988,,,,
61672582,,,,
66018795,,,,
66018845,,,,
66018956,,,,
66019033,,,,
66019079,,,,
61664567,,,,
61664768,,,,
61664910,,,,
61665171,,,,
61666890,,,,
66018329,,,,
66018426,,,,
66018637,,,,
66018695,,,,
66018753,,,,
66018988,,,,
66019150,,,,
66019209,,,,
66019314,,,,
66019346,,,,
61665032,,,,
61665318,,,,
61665443,,,,
61665630,,,,
61665744,,,,
61665991,,,,
61666111,,,,
61666281,,,,
61666348,,,,
61666448,,,,
61666545,,,,
61666689,,,,
61666803,,,,
74906158,,,,
74907691,,,,
74908867,,,,
74910125,,,,
74911063,,,,
74913908,,,,
74915449,,,,
74921783,,,,
74922418,,,,
74922961,,,,
74923715,,,,
74926330,,,,
74927336,,,,
74927932,,,,
76485083,,,,
76489874,,,,
76491233,,,,
76547946,,,,
76548608,,,,
76549377,,,,
76550344,,,,
76553560,,,,
76555807,,,,
76556916,,,,
76558900,,,,
76560506,,,,
76562127,,,,
76565974,,,,
76570142,,,,
76572990,,,,
76575663,,,,
76578356,,,,
76587617,,,,
76589145,,,,
76590734,,,,
76592032,,,,
76936927,,,,
76937699,,,,
76938327,,,,
76938701,,,,
76939068,,,,
78278629,,,,
78279551,,,,
78280122,,657.0,1.0,400.0
78280919,,,,
78281449,,,,
78283074,,,,
78283902,,,,
78284616,,,,
78285853,,,,
78286485,,,,
78287719,,,,
78288317,,,,
78288855,,,,
78289622,,,,
78312616,,,,
78314573,,,,
78315353,,,,
78316680,,,,
78317407,,,,
78318584,,657.0,1.0,200.0
78497121,,,,
78497361,,,,
78497558,,657.0,1.0,200.0
